Fecha,Promedio,Máximo,Mínimo
2001-01-01,12.555416666666666,14.02,9.26
2001-01-02,11.865833333333333,14.65,10.47
2001-01-03,11.833333333333334,13.17,10.25
2001-01-04,13.911666666666667,15.6,12.85
2001-01-05,15.534166666666666,17.85,11.36
2001-01-06,10.224583333333333,13.04,7.95
2001-01-07,8.73,12.42,5.76
2001-01-08,6.240416666666667,10.91,1.33
2001-01-09,6.982499999999999,8.94,5.03
2001-01-10,11.363333333333335,14.46,8.18
2001-01-11,11.359583333333333,13.59,9.38
2001-01-12,9.933333333333334,12.53,7.41
2001-01-13,8.057916666666667,15.01,3.94
2001-01-14,8.2925,15.39,3.56
2001-01-15,8.097083333333332,10.0,5.57
2001-01-16,9.178749999999999,9.98,8.63
2001-01-17,9.482916666666666,12.22,6.34
2001-01-18,10.2225,13.33,8.47
2001-01-19,11.10375,14.18,7.79
2001-01-20,7.97125,13.78,3.39
2001-01-21,7.292083333333333,13.88,3.51
2001-01-22,8.81625,13.39,3.3
2001-01-23,14.49375,16.07,12.59
2001-01-24,13.795833333333334,15.82,11.34
2001-01-25,9.412083333333333,12.07,7.01
2001-01-26,10.90375,14.99,7.12
2001-01-27,14.46125,15.88,12.89
2001-01-28,11.295,12.9,9.16
2001-01-29,10.830416666666666,15.79,6.38
2001-01-30,9.0825,17.23,3.51
2001-01-31,13.616666666666667,19.63,8.26
2001-02-01,13.152916666666668,20.91,6.93
2001-02-02,10.634583333333333,17.51,5.84
2001-02-03,10.102500000000001,17.63,5.69
2001-02-04,11.835833333333333,13.84,9.29
2001-02-05,12.905416666666667,15.89,9.96
2001-02-06,13.894166666666665,16.14,10.72
2001-02-07,11.663333333333334,15.17,9.59
2001-02-08,10.880833333333333,13.27,7.89
2001-02-09,9.487083333333333,13.77,6.06
2001-02-10,12.415,15.46,9.87
2001-02-11,13.588333333333333,20.6,9.07
2001-02-12,13.762500000000001,21.71,7.99
2001-02-13,13.20125,20.99,6.84
2001-02-14,12.037083333333333,16.25,8.43
2001-02-15,10.754166666666668,16.71,5.45
2001-02-16,10.605416666666667,17.7,5.06
2001-02-17,10.3575,19.23,3.39
2001-02-18,8.847083333333334,15.66,2.83
2001-02-19,9.803333333333333,14.48,5.47
2001-02-20,10.820833333333333,17.33,5.95
2001-02-21,9.700000000000001,18.73,3.03
2001-02-22,10.033333333333333,20.02,1.96
2001-02-23,10.689583333333333,15.41,7.1
2001-02-24,11.9275,16.57,8.93
2001-02-25,9.640833333333333,15.42,3.51
2001-02-26,8.355,14.63,2.12
2001-02-27,8.941666666666666,12.63,6.58
2001-02-28,8.28625,12.39,4.64
2001-03-01,8.486666666666666,9.55,6.86
2001-03-02,14.770416666666668,17.2,11.83
2001-03-03,14.77375,18.4,12.62
2001-03-04,14.27375,15.21,13.02
2001-03-05,15.325000000000001,18.93,12.09
2001-03-06,18.14875,23.96,14.74
2001-03-07,15.503333333333332,18.79,12.75
2001-03-08,13.085,14.28,12.09
2001-03-09,15.07625,17.57,13.23
2001-03-10,17.299583333333334,20.67,15.25
2001-03-11,18.41625,23.61,13.92
2001-03-12,15.209166666666667,18.77,11.47
2001-03-13,12.594999999999999,18.49,6.97
2001-03-14,12.419583333333334,19.72,4.8
2001-03-15,14.242916666666666,22.16,6.11
2001-03-16,13.984166666666667,17.75,10.82
2001-03-17,11.893333333333333,16.02,8.07
2001-03-18,13.765833333333333,18.32,10.37
2001-03-19,14.287916666666668,18.19,11.29
2001-03-20,17.304166666666667,21.07,12.73
2001-03-21,17.326249999999998,19.51,14.66
2001-03-22,18.546666666666667,24.59,13.54
2001-03-23,18.980833333333333,26.79,10.7
2001-03-24,14.699583333333335,19.83,11.21
2001-03-25,12.206666666666665,15.11,10.08
2001-03-26,11.896666666666667,16.32,9.32
2001-03-27,12.779583333333333,17.37,8.37
2001-03-28,13.875,18.61,9.62
2001-03-29,15.150833333333333,19.57,11.42
2001-03-30,16.373333333333335,21.94,11.34
2001-03-31,16.90375,23.69,9.93
2001-04-01,17.137916666666666,23.69,10.09
2001-04-02,16.429166666666667,20.96,11.96
2001-04-03,13.692083333333334,19.08,7.8
2001-04-04,14.214166666666666,16.82,10.7
2001-04-05,17.02,22.01,12.87
2001-04-06,17.90791666666667,23.6,11.26
2001-04-07,15.08625,18.84,12.03
2001-04-08,14.955,22.55,8.35
2001-04-09,15.85,25.79,5.72
2001-04-10,17.835833333333333,28.05,8.96
2001-04-11,17.66541666666667,25.05,9.59
2001-04-12,14.576666666666666,22.66,6.98
2001-04-13,15.545,23.24,5.64
2001-04-14,15.686666666666667,22.97,8.41
2001-04-15,17.295416666666664,26.12,6.66
2001-04-16,18.6975,25.58,11.76
2001-04-17,15.14625,18.49,11.53
2001-04-18,16.081666666666667,23.51,8.72
2001-04-19,15.935,24.11,7.83
2001-04-20,14.904166666666667,20.73,9.75
2001-04-21,13.897083333333335,21.15,4.98
2001-04-22,16.515833333333333,22.17,11.89
2001-04-23,16.900000000000002,21.97,13.89
2001-04-24,16.339166666666667,21.69,11.87
2001-04-25,14.969166666666666,21.0,9.0
2001-04-26,16.507083333333334,24.81,5.87
2001-04-27,17.975416666666668,23.8,11.66
2001-04-28,17.92625,26.83,7.56
2001-04-29,16.849999999999998,23.4,10.44
2001-04-30,11.114166666666668,16.22,6.88
2001-05-01,10.870833333333332,17.88,4.34
2001-05-02,9.163333333333334,12.54,4.05
2001-05-03,12.070416666666667,17.62,7.29
2001-05-04,15.237499999999999,20.85,8.47
2001-05-05,16.287499999999998,22.7,8.36
2001-05-06,15.764166666666668,22.87,6.99
2001-05-07,16.016666666666666,23.01,7.05
2001-05-08,14.872083333333334,18.28,11.82
2001-05-09,15.077083333333334,19.52,12.47
2001-05-10,16.695,22.6,11.5
2001-05-11,18.58375,25.77,11.25
2001-05-12,18.44125,26.85,11.37
2001-05-13,16.423333333333336,22.57,9.57
2001-05-14,15.044166666666667,18.41,13.34
2001-05-15,17.480416666666667,21.86,13.59
2001-05-16,19.520416666666666,24.89,15.19
2001-05-17,20.863333333333333,27.05,14.23
2001-05-18,22.136666666666667,29.9,14.26
2001-05-19,20.131666666666668,24.58,16.37
2001-05-20,21.017083333333336,27.7,16.51
2001-05-21,18.508333333333333,25.28,14.16
2001-05-22,18.230416666666667,24.93,12.57
2001-05-23,21.842083333333335,29.17,13.19
2001-05-24,23.74875,31.31,15.06
2001-05-25,25.554166666666664,33.37,16.62
2001-05-26,26.88875,34.78,16.82
2001-05-27,27.904583333333335,36.63,19.99
2001-05-28,28.525833333333335,37.73,17.94
2001-05-29,29.01125,37.8,18.09
2001-05-30,28.527916666666666,37.64,17.42
2001-05-31,30.115416666666665,38.52,20.64
2001-06-01,30.13,37.36,21.55
2001-06-02,29.692916666666665,36.82,21.34
2001-06-03,28.78916666666667,35.44,22.56
2001-06-04,25.23625,33.35,16.16
2001-06-05,25.651666666666667,32.34,16.96
2001-06-06,25.830833333333334,32.98,18.79
2001-06-07,26.946250000000003,36.02,15.3
2001-06-08,26.14708333333333,32.54,18.96
2001-06-09,18.572083333333335,20.9,16.33
2001-06-10,20.406666666666666,27.99,15.52
2001-06-11,22.10083333333333,29.62,14.45
2001-06-12,24.037916666666664,30.87,14.63
2001-06-13,25.82875,32.27,18.18
2001-06-14,26.689999999999998,33.89,18.26
2001-06-15,22.47583333333333,26.84,18.35
2001-06-16,21.886666666666667,27.55,15.89
2001-06-17,23.54875,29.88,15.42
2001-06-18,25.325833333333335,32.67,18.12
2001-06-19,27.6875,36.61,16.9
2001-06-20,29.327916666666667,38.73,17.54
2001-06-21,31.253333333333334,41.13,20.14
2001-06-22,32.09083333333333,40.68,21.17
