Fecha,trend
2001-01-01,
2001-01-02,
2001-01-03,
2001-01-04,
2001-01-05,
2001-01-06,
2001-01-07,
2001-01-08,
2001-01-09,
2001-01-10,
2001-01-11,
2001-01-12,
2001-01-13,
2001-01-14,
2001-01-15,
2001-01-16,
2001-01-17,
2001-01-18,
2001-01-19,
2001-01-20,
2001-01-21,
2001-01-22,
2001-01-23,
2001-01-24,
2001-01-25,
2001-01-26,
2001-01-27,
2001-01-28,
2001-01-29,
2001-01-30,
2001-01-31,
2001-02-01,
2001-02-02,
2001-02-03,
2001-02-04,
2001-02-05,
2001-02-06,
2001-02-07,
2001-02-08,
2001-02-09,
2001-02-10,
2001-02-11,
2001-02-12,
2001-02-13,
2001-02-14,
2001-02-15,
2001-02-16,
2001-02-17,
2001-02-18,
2001-02-19,
2001-02-20,
2001-02-21,
2001-02-22,
2001-02-23,
2001-02-24,
2001-02-25,
2001-02-26,
2001-02-27,
2001-02-28,
2001-03-01,
2001-03-02,
2001-03-03,
2001-03-04,
2001-03-05,
2001-03-06,
2001-03-07,
2001-03-08,
2001-03-09,
2001-03-10,
2001-03-11,
2001-03-12,
2001-03-13,
2001-03-14,
2001-03-15,
2001-03-16,
2001-03-17,
2001-03-18,
2001-03-19,
2001-03-20,
2001-03-21,
2001-03-22,
2001-03-23,
2001-03-24,
2001-03-25,
2001-03-26,
2001-03-27,
2001-03-28,
2001-03-29,
2001-03-30,
2001-03-31,
2001-04-01,
2001-04-02,
2001-04-03,
2001-04-04,
2001-04-05,
2001-04-06,
2001-04-07,
2001-04-08,
2001-04-09,
2001-04-10,
2001-04-11,
2001-04-12,
2001-04-13,
2001-04-14,
2001-04-15,
2001-04-16,
2001-04-17,
2001-04-18,
2001-04-19,
2001-04-20,
2001-04-21,
2001-04-22,
2001-04-23,
2001-04-24,
2001-04-25,
2001-04-26,
2001-04-27,
2001-04-28,
2001-04-29,
2001-04-30,
2001-05-01,
2001-05-02,
2001-05-03,
2001-05-04,
2001-05-05,
2001-05-06,
2001-05-07,
2001-05-08,
2001-05-09,
2001-05-10,
2001-05-11,
2001-05-12,
2001-05-13,
2001-05-14,
2001-05-15,
2001-05-16,
2001-05-17,
2001-05-18,
2001-05-19,
2001-05-20,
2001-05-21,
2001-05-22,
2001-05-23,
2001-05-24,
2001-05-25,
2001-05-26,
2001-05-27,
2001-05-28,
2001-05-29,
2001-05-30,
2001-05-31,
2001-06-01,
2001-06-02,
2001-06-03,
2001-06-04,
2001-06-05,
2001-06-06,
2001-06-07,
2001-06-08,
2001-06-09,
2001-06-10,
2001-06-11,
2001-06-12,
2001-06-13,
2001-06-14,
2001-06-15,
2001-06-16,
2001-06-17,
2001-06-18,
2001-06-19,
2001-06-20,
2001-06-21,
2001-06-22,
2001-06-23,
2001-06-24,
2001-06-25,
2001-06-26,
2001-06-27,
2001-06-28,
2001-06-29,
2001-06-30,
2001-07-01,
2001-07-02,17.75572602739726
2001-07-03,17.75125
2001-07-04,17.74595890410959
2001-07-05,17.7480799086758
2001-07-06,17.73669520547945
2001-07-07,17.725565068493147
2001-07-08,17.724699771689494
2001-07-09,17.72187328767123
2001-07-10,17.721154109589037
2001-07-11,17.723713470319638
2001-07-12,17.71156621004566
2001-07-13,17.694932648401824
2001-07-14,17.687992009132415
2001-07-15,17.691618721461186
2001-07-16,17.69645205479452
2001-07-17,17.69692922374429
2001-07-18,17.684907534246577
2001-07-19,17.674771689497717
2001-07-20,17.66977511415525
2001-07-21,17.665471461187213
2001-07-22,17.67031506849315
2001-07-23,17.672689497716895
2001-07-24,17.67562214611872
2001-07-25,17.669457762557077
2001-07-26,17.66362214611872
2001-07-27,17.66718835616438
2001-07-28,17.67803310502283
2001-07-29,17.666651826484014
2001-07-30,17.658998858447486
2001-07-31,17.656004566210044
2001-08-01,17.663249999999998
2001-08-02,17.657882420091326
2001-08-03,17.647657534246576
2001-08-04,17.643166666666666
2001-08-05,17.639963470319636
2001-08-06,17.63986415525114
2001-08-07,17.64178424657534
2001-08-08,17.635416666666664
2001-08-09,17.639914383561642
2001-08-10,17.63988698630137
2001-08-11,17.64533219178082
2001-08-12,17.64422488584475
2001-08-13,17.63534589041096
2001-08-14,17.625809360730592
2001-08-15,17.62005821917808
2001-08-16,17.61935844748858
2001-08-17,17.611547945205476
2001-08-18,17.604714611872144
2001-08-19,17.600408675799084
2001-08-20,17.599437214611868
2001-08-21,17.595908675799084
2001-08-22,17.593429223744288
2001-08-23,17.60391324200913
2001-08-24,17.607836757990867
2001-08-25,17.61359817351598
2001-08-26,17.615587899543378
2001-08-27,17.622277397260273
2001-08-28,17.63199429223744
2001-08-29,17.643327625570773
2001-08-30,17.656167808219173
2001-08-31,17.66200799086758
2001-09-01,17.644139269406388
2001-09-02,17.622202054794517
2001-09-03,17.60796917808219
2001-09-04,17.591929223744287
2001-09-05,17.57035958904109
2001-09-06,17.558271689497715
2001-09-07,17.555331050228308
2001-09-08,17.55059703196347
2001-09-09,17.5412602739726
2001-09-10,17.530364155251135
2001-09-11,17.527707762557075
2001-09-12,17.524570776255704
2001-09-13,17.523253424657533
2001-09-14,17.515381278538808
2001-09-15,17.509980593607303
2001-09-16,17.503686073059356
2001-09-17,17.50370547945205
2001-09-18,17.503844748858445
2001-09-19,17.499321917808217
2001-09-20,17.500622146118715
2001-09-21,17.50006963470319
2001-09-22,17.497756849315067
2001-09-23,17.50792694063927
2001-09-24,17.521740867579908
2001-09-25,17.534252283105022
2001-09-26,17.54306621004566
2001-09-27,17.541839041095887
2001-09-28,17.536581050228307
2001-09-29,17.529785388127852
2001-09-30,17.5230901826484
2001-10-01,17.518087899543374
2001-10-02,17.51432420091324
2001-10-03,17.507641552511416
2001-10-04,17.500230593607302
2001-10-05,17.4833002283105
2001-10-06,17.460609589041095
2001-10-07,17.44679109589041
2001-10-08,17.435408675799085
2001-10-09,17.43013698630137
2001-10-10,17.417721461187213
2001-10-11,17.396668949771687
2001-10-12,17.389996575342465
2001-10-13,17.3811700913242
2001-10-14,17.373952054794522
2001-10-15,17.363059360730595
2001-10-16,17.351013698630137
2001-10-17,17.35026598173516
2001-10-18,17.351063926940636
2001-10-19,17.353884703196346
2001-10-20,17.36379908675799
2001-10-21,17.37983904109589
2001-10-22,17.38898630136986
2001-10-23,17.394722602739726
2001-10-24,17.406965753424657
2001-10-25,17.428285388127854
2001-10-26,17.445688356164382
2001-10-27,17.458110730593607
2001-10-28,17.467480593607306
2001-10-29,17.47434817351598
2001-10-30,17.498568493150685
2001-10-31,17.51537328767123
2001-11-01,17.52802397260274
2001-11-02,17.53263127853881
2001-11-03,17.532053652968035
2001-11-04,17.528871004566213
2001-11-05,17.52196575342466
2001-11-06,17.514504566210046
2001-11-07,17.506633561643838
2001-11-08,17.510061643835616
2001-11-09,17.512793378995433
2001-11-10,17.507417808219177
2001-11-11,17.505415525114152
2001-11-12,17.509206621004566
2001-11-13,17.525091324200915
2001-11-14,17.53946347031963
2001-11-15,17.55423744292237
2001-11-16,17.546899543379
2001-11-17,17.537004566210044
2001-11-18,17.53841780821918
2001-11-19,17.54316210045662
2001-11-20,17.549440639269406
2001-11-21,17.545795662100456
2001-11-22,17.530664383561643
2001-11-23,17.5301198630137
2001-11-24,17.51829680365297
2001-11-25,17.495778538812786
2001-11-26,17.47031164383562
2001-11-27,17.445534246575342
2001-11-28,17.43258904109589
2001-11-29,17.431109589041096
2001-11-30,17.419108447488586
2001-12-01,17.41149086757991
2001-12-02,17.402440639269408
2001-12-03,17.386770547945208
2001-12-04,17.365059360730594
2001-12-05,17.34380593607306
2001-12-06,17.32114497716895
2001-12-07,17.29779109589041
2001-12-08,17.274026255707764
2001-12-09,17.277527397260275
2001-12-10,17.286567351598173
2001-12-11,17.29767922374429
2001-12-12,17.310254566210048
2001-12-13,17.317300228310504
2001-12-14,17.32412899543379
2001-12-15,17.343196347031963
2001-12-16,17.367600456621005
2001-12-17,17.38831506849315
2001-12-18,17.399255707762556
2001-12-19,17.398343607305936
2001-12-20,17.394368721461188
2001-12-21,17.388237442922374
2001-12-22,17.383325342465753
2001-12-23,17.375471461187214
2001-12-24,17.362433789954338
2001-12-25,17.356888127853882
2001-12-26,17.363510273972604
2001-12-27,17.364519406392695
2001-12-28,17.368590182648404
2001-12-29,17.36767465753425
2001-12-30,17.356694063926945
2001-12-31,17.33627397260274
2002-01-01,17.323433789954336
2002-01-02,17.314881278538813
2002-01-03,17.328093607305938
2002-01-04,17.350425799086757
2002-01-05,17.36920319634703
2002-01-06,17.383365296803653
2002-01-07,17.38944178082192
2002-01-08,17.38666894977169
2002-01-09,17.378528538812787
2002-01-10,17.365312785388127
2002-01-11,17.355584474885845
2002-01-12,17.347801369863014
2002-01-13,17.351206621004568
2002-01-14,17.353084474885847
2002-01-15,17.35890182648402
2002-01-16,17.366889269406393
2002-01-17,17.38632762557078
2002-01-18,17.412076484018264
2002-01-19,17.423349315068496
2002-01-20,17.427195205479453
2002-01-21,17.408665525114156
2002-01-22,17.394688356164384
2002-01-23,17.39577397260274
2002-01-24,17.402622146118723
2002-01-25,17.41124885844749
2002-01-26,17.423489726027398
2002-01-27,17.434009132420094
2002-01-28,17.43960388127854
2002-01-29,17.442747716894978
2002-01-30,17.434916666666666
2002-01-31,17.42566780821918
2002-02-01,17.427746575342468
2002-02-02,17.425754566210045
2002-02-03,17.42599315068493
2002-02-04,17.423252283105022
2002-02-05,17.41508105022831
2002-02-06,17.408947488584474
2002-02-07,17.406803652968037
2002-02-08,17.398900684931508
2002-02-09,17.383430365296803
2002-02-10,17.369961187214614
2002-02-11,17.359576484018266
2002-02-12,17.357125570776255
2002-02-13,17.353955479452054
2002-02-14,17.359546803652968
2002-02-15,17.36841666666667
2002-02-16,17.38020205479452
2002-02-17,17.391554794520548
2002-02-18,17.398827625570775
2002-02-19,17.399529680365298
2002-02-20,17.396286529680363
2002-02-21,17.38727397260274
2002-02-22,17.374211187214613
2002-02-23,17.355939497716896
2002-02-24,17.335755707762555
2002-02-25,17.32135502283105
2002-02-26,17.309392694063924
2002-02-27,17.302359589041096
2002-02-28,17.30094634703196
2002-03-01,17.301478310502283
2002-03-02,17.301484018264837
2002-03-03,17.301310502283105
2002-03-04,17.295931506849314
2002-03-05,17.282030821917807
2002-03-06,17.26289611872146
2002-03-07,17.244976027397257
2002-03-08,17.23796232876712
2002-03-09,17.231504566210045
2002-03-10,17.212487442922374
2002-03-11,17.19249200913242
2002-03-12,17.178446347031965
2002-03-13,17.17222602739726
2002-03-14,17.171578767123286
2002-03-15,17.16983219178082
2002-03-16,17.164809360730594
2002-03-17,17.158510273972603
2002-03-18,17.14828082191781
2002-03-19,17.136953196347033
2002-03-20,17.136320776255708
2002-03-21,17.137222602739726
2002-03-22,17.130136986301366
2002-03-23,17.122248858447485
2002-03-24,17.123947488584477
2002-03-25,17.12692123287671
2002-03-26,17.123731735159815
2002-03-27,17.116663242009132
2002-03-28,17.115125570776254
2002-03-29,17.115432648401825
2002-03-30,17.118005707762556
2002-03-31,17.124103881278536
2002-04-01,17.126327625570774
2002-04-02,17.11596689497717
2002-04-03,17.107464611872146
2002-04-04,17.10454908675799
2002-04-05,17.10312214611872
2002-04-06,17.112889269406388
2002-04-07,17.11935616438356
2002-04-08,17.124622146118718
2002-04-09,17.12625913242009
2002-04-10,17.127168949771686
2002-04-11,17.11796232876712
2002-04-12,17.099333333333334
2002-04-13,17.105955479452053
2002-04-14,17.11195319634703
2002-04-15,17.113736301369862
2002-04-16,17.10866894977169
2002-04-17,17.10397831050228
2002-04-18,17.09254109589041
2002-04-19,17.082086757990865
2002-04-20,17.086608447488587
2002-04-21,17.092278538812785
2002-04-22,17.091756849315068
2002-04-23,17.08793721461187
2002-04-24,17.08568607305936
2002-04-25,17.088255707762556
2002-04-26,17.094119863013695
2002-04-27,17.09056506849315
2002-04-28,17.0834703196347
2002-04-29,17.07258904109589
2002-04-30,17.061402968036525
2002-05-01,17.055666666666664
2002-05-02,17.047021689497715
2002-05-03,17.042068493150683
2002-05-04,17.04658904109589
2002-05-05,17.05700342465753
2002-05-06,17.061375570776253
2002-05-07,17.060402968036527
2002-05-08,17.07190639269406
2002-05-09,17.0729600456621
2002-05-10,17.0652203196347
2002-05-11,17.082551369863012
2002-05-12,17.103280821917807
2002-05-13,17.12787214611872
2002-05-14,17.144051369863014
2002-05-15,17.151852739726024
2002-05-16,17.152473744292237
2002-05-17,17.160503424657534
2002-05-18,17.16653310502283
2002-05-19,17.176539954337898
2002-05-20,17.182706621004563
2002-05-21,17.19530821917808
2002-05-22,17.20218493150685
2002-05-23,17.208902968036526
2002-05-24,17.215619863013696
2002-05-25,17.2277100456621
2002-05-26,17.229342465753426
